RefID,Region,Project,Location,Est Cost $M,2022-23,2023-24,0-5,5-10,0-10,0-15,10-15,15+,Sub Sector,Enabling Infrastructure,Challenge / Opportunity,Industry Sector,Category,cost_num,cost_imputed,log_cost,h_2022-23,h_2023-24,h_0-5,h_5-10,h_0-10,h_0-15,h_10-15,h_15+,short_term,ABS_Population,region_area_km2,pop_density,log_pop_density,cost_per_cap,log_cost_per_cap,is_funded,is_near_term,is_remote,n_horizons
0s11,Greater Darwin,Darwin CBD Sports Stadium and Entertainment Precinct,"-12.460834, 130.84444",500,,,,●,,,,,Festivals and Major Events,Social Infrastructure,Develop state-of-the-art stadium facilities to grow AFL and entertainment opportunities,Tourism,P,500.0,500.0,2.6989700043360187,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,3.278925037215799,1.45370181851885,0,0,0,1
547.1,Greater Darwin,Darwin High School - refurbish Block A (classrooms),"Darwin High School, NT Australia",11,,,,,●,,,,Education and Training,Social Infrastructure,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,Education and Training,P,11.0,11.0,1.0413926851582251,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.07213635081874759,0.0696532474882118,0,0,0,1
547,Greater Darwin,Darwin High School - refurbish Block B (music and arts),"Darwin High School, NT Australia",11,,,,,,●,,,Education and Training,Social Infrastructure,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,Education and Training,P,11.0,11.0,1.0413926851582251,0,0,0,0,0,1,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.07213635081874759,0.0696532474882118,0,0,0,1
0d15,Greater Darwin,Darwin Seafood Processing Facility,"-12.460834, 130.84444",10,,,,,●,,,,Manufacturing,Transport and Logistics,Enable economic development of the seafood industry,Emerging Industries,P,10.0,10.0,1.0,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.06557850074431598,0.06351784487252321,0,0,0,1
9e20,Greater Darwin,Driver Primary School - administration building additions ,"-12.4871, 130.9768",1.9,,,,,,●,,,Education and Training,Social Infrastructure,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,Education and Training,P,1.9,1.9,0.2787536009528289,0,0,0,0,0,1,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.012459915141420036,0.01238292923107038,0,0,0,1
9e26,Greater Darwin,Durack Primary School - administration building additions ,"-12.4725, 130.9745",1.3,,,,●,,,,,Education and Training,Social Infrastructure,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,Education and Training,P,1.3,1.3,0.11394335230683679,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.008525205096761078,0.008489070758976341,0,0,0,1
775,Greater Darwin,Fannie Bay - 7 Waratah Crescent - residential redevelopment,"-12.4216, 130.8386",30,,10,●,,,,,,Housing,Land Infrastructure,Provide innovative medium density housing options and create a safe and vibrant place for people to enjoy,Housing,P,30.0,30.0,1.4771212547196624,0,0,1,0,0,0,0,0,1,152489.0,3213,47.46000622471211,3.8807388438388895,0.19673550223294795,0.17959743493504557,0,0,0,1
8k10,Greater Darwin,Fannie Bay Gaol visitor centre and arts hub,"-12.4261, 130.836264",10,,,,,,,●,,"Sporting, Recreation, Lifestyle",Social Infrastructure,"Grow a creative and innovative community, expand tourism opportunities to develop the economy and increase liveability ","Sporting, Recreation, Lifestyle",P,10.0,10.0,1.0,0,0,0,0,0,0,1,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.06557850074431598,0.06351784487252321,0,0,0,1
409,Greater Darwin,Fogg Dam Conservation Reserve - upgrades to sluice gate and additional flood spill way to maintain condition of the dam wall and road edges ,"-12.57102, 131.3134",●,,,●,,,,,,Green and Blue Infrastructure,Social Infrastructure,Develop Fogg Dam as the premier site for birdwatching close to Darwin to grow the birdwatching tourism sector,Land,P,,5.3,0.724275869600789,0,0,1,0,0,0,0,0,1,152489.0,3213,47.46000622471211,3.8807388438388895,0.034756605394487466,0.03416623519191331,0,0,0,1
8k37,Greater Darwin,Howard Springs Nature Park - refresh infrastructure,Howard Springs Nature Park NT Australia,●,,,,,●,,,,"Sporting, Recreation, Lifestyle",Social Infrastructure,"Value, preserve and expand access to parks, increase visitation opportunities and visitor experience","Sporting, Recreation, Lifestyle",P,,5.3,0.724275869600789,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.034756605394487466,0.03416623519191331,0,0,0,1
559,Greater Darwin,Humpty Doo Primary School - early years,"-12.5842, 131.1258",2.5,,,,●,,,,,Education and Training,Social Infrastructure,Contemporary educational infrastructure to support growth in early years learning enrolments,Education and Training,P,2.5,2.5,0.3979400086720376,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.016394625186078995,0.01626168436063279,0,0,0,1
2p24,Greater Darwin,Humpty Doo Volunteer Fire Brigade - construct living quarters and sheds ,"-12.5842, 131.1258",5,,,,,,●,,,Justice and Public Safety,Social Infrastructure,Strengthen emergency support services in rural communities,Justice and Public Safety,P,5.0,5.0,0.6989700043360189,0,0,0,0,0,1,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.03278925037215799,0.032263152258482426,0,0,0,1
568,Greater Darwin,Larrakeyah Primary School - four new classrooms ,"-12.457876, 130.82941",5,,,●,,,,,,Education and Training,Social Infrastructure,Contemporary educational infrastructure to support growth in population and student enrolments,Education and Training,P,5.0,5.0,0.6989700043360189,0,0,1,0,0,0,0,0,1,152489.0,3213,47.46000622471211,3.8807388438388895,0.03278925037215799,0.032263152258482426,0,0,0,1
0e13,Greater Darwin,"Larrakeyah Primary School - preschool redevelopment
","-12.457876, 130.82941",5,,,,●,,,,,Education and Training,Social Infrastructure,Master planned infrastructure to provide contemporary educational facilities to support growth in early years learning enrolments,Education and Training,P,5.0,5.0,0.6989700043360189,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.03278925037215799,0.032263152258482426,0,0,0,1
570,Greater Darwin,Leanyer Primary School - early years and community hub,"-12.374667, 130.8997",7,,,,,,,●,,Education and Training,Social Infrastructure,Master planned infrastructure to provide contemporary educational facilities to support growth in early years learning enrolments,Education and Training,P,7.0,7.0,0.8450980400142568,0,0,0,0,0,0,1,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.045904950521021184,0.04488249203107825,0,0,0,1
573,Greater Darwin,Ludmilla Primary School - new administration building,"-12.424527,130.85513",9,,,,,,,●,,Education and Training,Social Infrastructure,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,Education and Training,P,9.0,9.0,0.9542425094393249,0,0,0,0,0,0,1,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.059020650669884385,0.05734456658956338,0,0,0,1
0e21,Greater Darwin,Manunda Terrace School - basketball court upgrades,"-12.4004, 130.9156",0.5,,,●,,,,,,Education and Training,Social Infrastructure,Contemporary educational infrastructure to support student engagement,Education and Training,P,0.5,0.5,-0.3010299956639812,0,0,1,0,0,0,0,0,1,152489.0,3213,47.46000622471211,3.8807388438388895,0.0032789250372157993,0.0032735610846499207,0,0,0,1
9e51,Greater Darwin,Milner Primary School - install lift,"-12.3917, 130.864",0.5,,,●,,,,,,Education and Training,Social Infrastructure,Contemporary educational infrastructure to support students with additional needs,Education and Training,P,0.5,0.5,-0.3010299956639812,0,0,1,0,0,0,0,0,1,152489.0,3213,47.46000622471211,3.8807388438388895,0.0032789250372157993,0.0032735610846499207,0,0,0,1
0e14,Greater Darwin,Mimika-Ga (Henbury Avenue) - early intervention hub upgrades,"-12.3601, 130.8781",2.5,,,,,●,,,,Education and Training,Social Infrastructure,Master planned infrastructure to provide contemporary early years educational facilities to support students with additional needs,Education and Training,P,2.5,2.5,0.3979400086720376,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.016394625186078995,0.01626168436063279,0,0,0,1
580,Greater Darwin,Moil Primary School - relocate preschool and refurbish administration building,"-12.387785, 130.881084",5.5,,,●,,,,,,Education and Training,Social Infrastructure,Master planned infrastructure to provide contemporary early years educational facilities to support growth in population and student enrolments,Education and Training,P,5.5,5.5,0.7403626894942439,0,0,1,0,0,0,0,0,1,152489.0,3213,47.46000622471211,3.8807388438388895,0.03606817540937379,0.03543294805185093,0,0,0,1
9k6,Greater Darwin,Museum and Art Gallery of the Northern Territory (MAGNT) - cultural collections storage upgrade (visual arts store only),"-12.460834, 130.84444",1.5,,,,,,●,,,"Sporting, Recreation, Lifestyle",Social Infrastructure,"Value, preserve and expand historic and cultural places, increase visitation opportunities and visitor experience",Tourism,P,1.5,1.5,0.17609125905568124,0,0,0,0,0,1,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.009836775111647397,0.009788708992709692,0,0,0,1
8p51,Greater Darwin,New Water Police Complex,"-12.47652, 130.9162",40,,,,,,,●,,Justice and Public Safety,Social Infrastructure,Support the continued delivery of quality police services ,Justice and Public Safety,P,40.0,40.0,1.6020599913279623,0,0,0,0,0,0,1,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.2623140029772639,0.2329465469396318,0,0,0,1
9e17,Greater Darwin,"Nightcliff Middle School - upgrade home economics and canteen, traffic calming and grounds

","-12.383831, 130.848479",3,,,,,,●,,,Education and Training,Social Infrastructure,Upgrade ageing infrastructure to support the continued delivery of quality education,Education and Training,P,3.0,3.0,0.47712125471966244,0,0,0,0,0,1,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.019673550223294794,0.019482527268940633,0,0,0,1
0e15,Greater Darwin,"Nightcliff Middle School - upgrade science lab

","-12.3790129, 130.8517495",2,,,,,●,,,,Education and Training,Social Infrastructure,Upgrade ageing infrastructure to support the continued delivery of quality education,Education and Training,P,2.0,2.0,0.3010299956639812,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.013115700148863197,0.013030434093791938,0,0,0,1
587,Greater Darwin,Nightcliff Primary School - replace demountables with four new classrooms ,"-12.38057404, 130.85016",2.5,,3,,,●,,,,Education and Training,Social Infrastructure,Contemporary educational infrastructure to support growth in population and student enrolments,Education and Training,P,2.5,2.5,0.3979400086720376,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.016394625186078995,0.01626168436063279,0,0,0,1
534,Greater Darwin,Northcrest - new preschool and primary school for 500 enrolments,"-12.432, 130.9205",50,,,,●,,,,,Education and Training,Social Infrastructure,Contemporary educational infrastructure to support growth in population and student enrolments,Education and Training,P,50.0,50.0,1.6989700043360187,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.3278925037215799,0.28359310178515224,0,0,0,1
0e10,Greater Darwin,Palmerston and the rural area - school infrastructure to support students with additional needs,"-12.5151, 130.983",21,,5,●,,,,,,Education and Training,Social Infrastructure,Contemporary educational infrastructure to support students with additional needs,Education and Training,P,21.0,21.0,1.3222192947339193,0,0,1,0,0,0,0,0,1,152489.0,3213,47.46000622471211,3.8807388438388895,0.13771485156306357,0.1290217345022945,0,0,0,1
9e33,Greater Darwin,"Palmerston College - Rosebery campus - additional science lab



",Roseberry NT Australia,1.5,,,,●,,,,,Education and Training,Social Infrastructure,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,Education and Training,P,1.5,1.5,0.17609125905568124,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.009836775111647397,0.009788708992709692,0,0,0,1
2e33,Greater Darwin,"Palmerston College - Rosebery campus - staff development centre


",Roseberry NT Australia,1.5,,,,,,●,,,Education and Training,Social Infrastructure,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,Education and Training,P,1.5,1.5,0.17609125905568124,0,0,0,0,0,1,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.009836775111647397,0.009788708992709692,0,0,0,1
595,Greater Darwin,Parap Primary School - preschool,"-12.42984, 130.84433",4,,,●,,,,,,Education and Training,Social Infrastructure,Upgrade ageing infrastructure to support the continued delivery of quality education,Education and Training,P,4.0,4.0,0.6020599913279624,0,0,1,0,0,0,0,0,1,152489.0,3213,47.46000622471211,3.8807388438388895,0.026231400297726394,0.02589325767163791,0,0,0,1
0e16,Greater Darwin,Parap Primary School - upgrade arts space and classrooms,"-12.42984, 130.84433",4,,,,●,,,,,Education and Training,Social Infrastructure,Upgrade ageing infrastructure to support the continued delivery of quality education,Education and Training,P,4.0,4.0,0.6020599913279624,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.026231400297726394,0.02589325767163791,0,0,0,1
9p01,Greater Darwin,Peter McAulay Centre - new exhibits / property storage facility,"-12.432, 130.9205",7,,,,,,,●,,Justice and Public Safety,Social Infrastructure,Support the continued delivery of quality police services ,Justice and Public Safety,P,7.0,7.0,0.8450980400142568,0,0,0,0,0,0,1,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.045904950521021184,0.04488249203107825,0,0,0,1
2a7.1,Greater Darwin,Royal Darwin Hospital upgrades,"-12.3601, 130.8781",●,,,,,,●,,,Health,Social Infrastructure,Strengthen liveability by improving infrastructure to support health services,Health,P,,5.3,0.724275869600789,0,0,0,0,0,1,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.034756605394487466,0.03416623519191331,0,0,0,1
7e1109,Greater Darwin,Stuart Park Primary School expansion,"-12.441043, 130.845093",10,,,,,●,,,,Education and Training,Social Infrastructure,Contemporary educational infrastructure to support growth in population and student enrolments,Education and Training,P,10.0,10.0,1.0,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.06557850074431598,0.06351784487252321,0,0,0,1
609,Greater Darwin,Taminmin College - multi-purpose community hall,"-12.5842, 131.1258",15,,,,,,,●,,Education and Training,Social Infrastructure,Master planned infrastructure to provide contemporary educational facilities to support growth in population and student enrolments,Education and Training,P,15.0,15.0,1.1760912590556813,0,0,0,0,0,0,1,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.09836775111647397,0.0938252151685044,0,0,0,1
2p26,Greater Darwin,Virginia/Bees Creek Volunteer Fire Bridage - construct new station ,"-12.5448, 131.0192",3,,,,,●,,,,Justice and Public Safety,Social Infrastructure,Strengthen emergency support services in rural communities,Justice and Public Safety,P,3.0,3.0,0.47712125471966244,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.019673550223294794,0.019482527268940633,0,0,0,1
2e27,Greater Darwin,Zuccoli Primary School - four additional classrooms,"-12.5109, 131.00602",2.5,,,,●,,,,,Education and Training,Social Infrastructure,Contemporary educational infrastructure to support growth in population and student enrolments,Education and Training,P,2.5,2.5,0.3979400086720376,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.016394625186078995,0.01626168436063279,0,0,0,1
8k31,Greater Darwin,Abala Road revitalisation,Abala Rd NT Australia,10,,,,,,,,●,"Rail, Roads and Bridges",Transport and Logistics,Enhance liveability by improving access to sports facilities,Transport and Logistics,P,10.0,10.0,1.0,0,0,0,0,0,0,0,1,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.06557850074431598,0.06351784487252321,0,0,0,1
2r37,Greater Darwin,Across the region - public housing new builds,"-12.460834, 130.84444",5,,,,,,●,,,Housing,Social Infrastructure,"Provide safe, secure and affordable housing for people on low incomes",Housing,P,5.0,5.0,0.6989700043360189,0,0,0,0,0,1,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.03278925037215799,0.032263152258482426,0,0,0,1
8n12,Greater Darwin,Across the region - stormwater upgrades and reconstruction,"-12.460834, 130.84444",16.060000000000002,1.46,1.46,,,●,,,,Residential Subdivisions,Transport and Logistics,"Improve community safety and reduce the damage, disruption and costs associated with major flood events",Land,P,16.060000000000002,16.060000000000002,1.2057455409426623,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.10531907219537148,0.10013404640654132,0,0,0,1
1193,Greater Darwin,Amy Johnson Avenue - begin progressive duplication   ,Amy Johnson Avenue NT Australia,28,,,,,,,●,,"Rail, Roads and Bridges",Transport and Logistics,Provide commuters with an alternative connector from the northern suburbs to Darwin CBD,Transport and Logistics,P,28.0,28.0,1.4471580313422192,0,0,0,0,0,0,1,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.18361980208408474,0.1685773717893031,0,0,0,1
2n5,Greater Darwin,Bagot Park Masterplan - outcomes,"-12.3966, 130.857",●,,,,,●,,,,"Sporting, Recreation, Lifestyle",Social Infrastructure,Strengthen liveability by creating versatile shared spaces for the entire community,"Sporting, Recreation, Lifestyle",P,,5.3,0.724275869600789,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.034756605394487466,0.03416623519191331,0,0,0,1
1194,Greater Darwin,Bagot Road - capacity improvements and upgrades,Bagot Road NT Australia,26,,,,●,,,,,"Rail, Roads and Bridges",Transport and Logistics,"Increase road capacity, safety, support accessibility, connectivity and amenity",Transport and Logistics,P,26.0,26.0,1.414973347970818,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.17050410193522156,0.15743451237260808,0,0,0,1
211,Greater Darwin,Barbara James House - refurbishment,"-12.35583, 130.8819",10,,,,,,●,,,Health,Social Infrastructure,Strengthen liveability by improving infrastructure to support health services,Health,P,10.0,10.0,1.0,0,0,0,0,0,1,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.06557850074431598,0.06351784487252321,0,0,0,1
9j13,Greater Darwin,Berrimah Business Park - showroom developments,"-12.432, 130.9205",60,●,●,,,●,,,,Retail and Business,Land Infrastructure,Increase availability of quality commercial premises,Lifestyle,P,60.0,60.0,1.7781512503836436,1,1,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.3934710044658959,0.33179776002040157,0,1,0,3
9j12,Greater Darwin,Berrimah Industrial Estate - warehouse developments,"-12.432, 130.9205",100,,●,,,●,,,,Retail and Business,Land Infrastructure,Increase availability of quality light industrial premises,Lifestyle,P,100.0,100.0,2.0,0,1,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.6557850074431598,0.5042752211116758,0,1,0,2
1186,Greater Darwin,Berrimah Road - capacity improvements,Berrimah Road NT Australia,60,,,,,●,,,,"Rail, Roads and Bridges",Transport and Logistics,Improve network capacity and safety for increased traffic into the port,Transport and Logistics,P,60.0,60.0,1.7781512503836436,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.3934710044658959,0.33179776002040157,0,0,0,1
8c03,Greater Darwin,Berry Springs - child care centre,"-12.7219, 131.0103",3,,,,,●,,,,Education and Training,Social Infrastructure,Contemporary educational infrastructure to support growth in early years learning enrolments,Education and Training,P,3.0,3.0,0.47712125471966244,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.019673550223294794,0.019482527268940633,0,0,0,1
2006,Greater Darwin,Boulter Road - urban cross section upgrade,"Boulter Road, NT Australia",10,,,,●,,,,,"Rail, Roads and Bridges",Transport and Logistics,"Increase road capacity, safety, support accessibility, connectivity and amenity",Transport and Logistics,P,10.0,10.0,1.0,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.06557850074431598,0.06351784487252321,0,0,0,1
1100.1,Greater Darwin,Breezes Muirhead - new Defence housing,"-12.42455, 130.87192",●,,,,,●,,,,Housing,Social Infrastructure,Provide supportive housing for defence personnel and their families,Housing,P,,5.3,0.724275869600789,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.034756605394487466,0.03416623519191331,0,0,0,1
2t14,Greater Darwin,Channel Island Power Station fleet transition phase 3 and 4,"-12.553376, 130.86666",170,,,,,●,,,,Electricity,Utilities,"Asset renewal to support growth, compliance and improve service efficiency",Utilities,P,170.0,170.0,2.230448921378274,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,1.1148345126533716,0.7489765648286373,0,0,0,1
2t15,Greater Darwin,Channel Island Power Station upgrades and replacement works,"-12.553376, 130.86666",22.8,,5.5,●,,,,,,Electricity,Utilities,"Asset renewal to support growth, compliance and improve service efficiency",Utilities,P,22.8,22.8,1.3579348470004537,0,0,1,0,0,0,0,0,1,152489.0,3213,47.46000622471211,3.8807388438388895,0.14951898169704045,0.13934357808784106,0,0,0,1
2007,Greater Darwin,Chin Quan Avenue upgrades,Chin Quan Avenue The Gardens NT Australia,2,,,,,,,●,,"Rail, Roads and Bridges",Transport and Logistics,"Enhance infrastructure to support accessibility, connectivity, safety and amenity",Transport and Logistics,P,2.0,2.0,0.3010299956639812,0,0,0,0,0,0,1,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.013115700148863197,0.013030434093791938,0,0,0,1
1177.1,Greater Darwin,Chung Wah Terrace - duplicate Lambrick Avenue to Elrundie Avenue,"-12.4792, 130.985",51,,,,,,,●,,"Rail, Roads and Bridges",Transport and Logistics,"Increase road capacity, safety, support accessibility, connectivity and amenity",Transport and Logistics,P,51.0,51.0,1.7075701760979363,0,0,0,0,0,0,1,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.3344503537960115,0.2885194870692736,0,0,0,1
2n22,Greater Darwin,"City of Darwin Movement Strategy -wayfinding, pedestrian, cycling and micro-mobility infrastructure, upgrade local intersections","-12.4792, 130.985",10,,,,,●,,,,"Sporting, Recreation, Lifestyle",Social Infrastructure,"Make it easier for people to move around the city and suburbs, reducing the impact of transport on the environment","Sporting, Recreation, Lifestyle",P,10.0,10.0,1.0,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.06557850074431598,0.06351784487252321,0,0,0,1
9s20,Greater Darwin,"Commercial data centre park, including
electrical network upgrades and communications network upgrades","-12.55969, 130.91828",380,●,●,●,,,,,,Digital Industries,Utilities,Enabling digital Territory and creating digital opportunity,Emerging Industries,P,380.0,380.0,2.57978359661681,1,1,1,0,0,0,0,0,1,152489.0,3213,47.46000622471211,3.8807388438388895,2.4919830282840074,1.2504697777948715,0,1,0,3
171,Greater Darwin,Darwin and Palmerston renal services expansion - Home Therapies Unit ,-12.43146 130.92977,7,,,,,●,,,,Health,Social Infrastructure,Strengthen liveability by improving infrastructure to support renal health services,Health,P,7.0,7.0,0.8450980400142568,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.045904950521021184,0.04488249203107825,0,0,0,1
2s26,Greater Darwin,Darwin CBD - high quality A grade office develoment,"-12.460834, 130.84444",50,,,,,●,,,,"Sporting, Recreation, Lifestyle",Social Infrastructure,Support contemporary work practices and environments to attract and retain people,"Sporting, Recreation, Lifestyle",P,50.0,50.0,1.6989700043360187,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.3278925037215799,0.28359310178515224,0,0,0,1
2e11,Greater Darwin,Darwin CBD - new vertical school,"-12.460834, 130.84444",45,,,,,,,●,,Education and Training,Social Infrastructure,Contemporary educational infrastructure to support growth in population and student enrolments,Education and Training,P,45.0,45.0,1.6532125137753437,0,0,0,0,0,0,1,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.2951032533494219,0.25859042428920476,0,0,0,1
